Darija_Arabe,Anglais
بغيت نحجز مقعد فبلاصة ديال النعاس لواشنطن دي سي، عافاك.,"I want to book a sleeping seat to Washington, D.C., please."
كنقترح عليك تزور مبنى الأمم المتحدة اللي حتى هو على ضفة إيست ريفر.,"I suggest you visit the United Nations building, which is also on the East River bank."
هي تسعود وتسعين. بغيت نصرف تقريبا تسعود وتسعين دولار.,Its ninetynine. I want to exchange about ninetynine dollars.
عافاك وريني داك اللأنبوب. التالت.,Please show me that tube. The third one.
إلا كان الشخص بوذي، واخا. بلحاق بزاف دالأسر كيديرو الجنايز فديورهوم.,"If the person is Buddhist, okay. However, many families hold funerals in their homes."
واحد القميجة بيضة وجوج ازواج دالتقاشر.,A white shirt and two pairs of socks.
تقريبا ألف دولار.,Almost a thousand dollars.
شحال كتدير أرخص تذكرة؟,How much is the cheapest ticket?
شريحة لحم وشلاضة خضرا، عافاك.,"Steak and green salad, please."
مزيان، عافاك خد وقتك. اعلمني إلا احتاجتي شي حاجة.,"Good, please take your time. Let me know if you need anything."
هادا ليا.,This is mine.
بغيت نطلب بيتزا. اشكون غادي يوصلها هنا؟ اشنو هو الرقم؟,I want to order pizza. Who will deliver it here? Whats the number?
غادي نتأخر.,I will be late.
واش عندك غرفة احسن؟,Do you have a better room?
كيستغرق نهار كامل. غادي يكون المرشد هنا مع التسعود دالصباح باش يوصلك.,It takes a whole day. The guide will be here at nine in the morning to take you.
عافاك اختار شي اخمر ازوين للوجبة ديالنا.,Please choose a nice red wine for our meal.
بغيت تذكرة واحدة دخمسين دولار وخمسة دعشرة دولار، عافاك.,"I want one ticket for fifty dollars and fifteen dollars, please."
راه وصل عدد سكان طوكيو تقريبا اطناش مليون نسمة. راها مزحومة وتكلفة السكن طالعة.,"The population of Tokyo has reached approximately twelve million people. It is crowded, and housing costs are high."
يمكن ليك تجري اتصال مباشر من الغرفة ديالك.,You can make a direct call from your room.
شحال التكلفة الإضافية لشخص واحد؟,How much is the additional cost for one person?
ما يكونش بارد، عافاك.,"Dont let it be cold, please."
شحال باقي دالوقت قبل ما نبداو؟,How much time is left before we start?
واش هاد الكريم للبشرة الجافة أو لا للبشرة الدهنية؟,Is this cream for dry skin or oily skin?
اسمح ليا. ضيعت طريقي.,Sorry. I lost my way.
مزيان، كنت كنفكر فالسوشي. وانتا؟,"Good, I was thinking about sushi. And you?"
بغيت نلتحق بالجولة الاختيارية ديال غدا.,I want to join tomorrows optional tour.
نعم، راه مشكل ديال جمع الأزبال.,"Yes, its a problem of garbage collection."
بغيت هاد النموذج فوضع ديال خمسة بلايص.,I want this model in a setup of five places.
إلا اشريتهوم بجوج، واش يمكن ليك تنقص ليا التمن؟,"If I buy both, can you lower the price for me?"
بزاف دالعائلات عندهوم دخل مزدوج.,Many families have dual incomes.
"""أوه. هاد الفضة نادرة """"القمر والجرس"""". واش متأكد باغي تبدلها؟""","""Oh. This silver is rare, The Moon and the Bell. Are you sure you want to trade it?"""
يمكن لي نحصل على جوج ليترو دالحليب؟,Can I get two liters of milk?
غادي نبقاو الليل كامل.,We will stay the whole night.
بغيت نكري طوموبيل.,I want to rent a car.
تلاتة نونبر هو يوم الثقافة.,November 3rd is Culture Day.
كنقلب على قميجة لبنت عمرها عشر سنين؟,Im looking for a shirt for a tenyearold girl.
ضيعت جواز السفر ديالي.,I lost my passport.
نعم. عندي هادي.,"Yes, I have this one."
يما واختي كيجيو من اليابان باش يشوفوني. غادي يوصلو هنا مع ديك السبعة دلعشية.,My mom and sister are coming from Japan to see me. They will arrive here around 7 in the evening.
اقطع مرة واحدة، عافاك.,"Cut it once, please."
عتقونا.,Save us.
انتا كتخلص اكتر من الطريفة.,You are paying more than the rate.
اتسنى. تلاتة دالشوارع، ومن بعد على اليسار؟,"Wait. Three streets, then to the left?"
اشكون مول الدور الرجالي الرئيسي؟,Who is the lead male actor?
واش كاين شي سوق قريب من هنا؟,Is there a market nearby?
ما عرفتش كيفاش كيتسد هاد الرواق.,I dont know how this gallery is closed.
كيفاش يمكن لي نوصل لسانترال بارك؟,How can I get to Central Park?
أنا معصب عليه.,I’m upset with him.
صيفطو بالاكسبريس، عافاك.,"Send it by express, please."
عافاك صيفط هادا على شكل أمتعة غير مصحوبة.,Please send this as unaccompanied baggage.
شحال هو تمن الطوبيس لبوسطن؟,How much is the bus fare to Boston?
دوز من هاد الباب وسير على يمينك.,Pass through this door and go to your right.
خاصك تدفع الزيادة على التحلية.,You need to pay extra for the dessert.
كنقلب على وحدين أخرين.,Im looking for others.
اسميتي هيساي شيبا. أنا ياباني.,My name is Hisai Shiba. I am Japanese.
خاصني شوية دالموتارد.,I need some mustard.
اعطيني علبة واحدة من هاد الماركة.,Give me one box of this brand.
البني عليه الإقبال هاد العام.,Brown is popular this year.
نعم. بلحاق فالمدن الصغيرة وحتى فالمدينة القديمة فطوكيو، عندنا بزاف دلموزعين المختصين الصغارمستقلين.,"Yes. Indeed, in small towns and even in the old city of Tokyo, we have many small independent specialized distributors."
واش عندك شي حاجة بجودة مزيانة؟,Do you have something of good quality?
اشنو تنصحني نشوف اكتار فكيوتو؟,What do you recommend I watch more on YouTube?
فكرة ازوينة. وقتاش مخططين اتجيو؟,A great idea. When are you planning to come?
فين خدام؟,Where do you work?
واش يمكن لي نطلب وجبة نباتية؟,Can I request a vegetarian meal?
شحال تكلفة الغرفة؟,How much is the room?
ماشي خايب بزاف. بلحاق أنا كنفضلو بتوابل اكتار.,Not too bad. But I prefer it with more spices.
واش تقدر توصي لي على واحد القاموس فرنسيإنجليزي؟,Can you recommend a FrenchEnglish dictionary for me?
شكرا ليك. فرصة سعيدة اللي شفتك. بالسلامة.,Thank you. Nice to meet you. Goodbye.
واش يمكن لي نستارح فأوطيل قريب من هنا؟,Can I rest at a hotel near here?
هادا غادي يكون باتمنطاش دولار للطابع. هاهو البيان الجمركي للطرد ديالك.,This will be eighteen dollars for the stamp. Here is the customs declaration for your package.
وقتاش يمكن يجي الطبيب؟,When can the doctor come?
مزيان. جوج بلايص، عافاك.,"Good. Two seats, please."
واش كاين شي حاجة للشرب فالباطو؟,Is there anything to drink on the boat?
السحاب كيبان ازوين من هنا.,The clouds look beautiful from here.
واش نقدرنعاون فأي حال؟,Can I help in any way?
بغيت نشوف الحي المالي.,I want to see the financial district.
أنا كناخد دروس فالسباحة.,I am taking swimming lessons.
واش عندك قهوة سريعة التحضير؟,Do you have instant coffee?
هاد المطار ماغايكونش عامر التلات فالعشية.,This airport wont be crowded on Tuesday afternoon.
واش عنيف؟,Is he violent?
واخا. بللاتي نشوف. بغيت نبدا بكاس دالخمر.,Alright. Let me see. I want to start with a glass of wine.
اصلح البولة، عافاك.,"Fix the faucet, please."
بغيت نبدل الحجز.,I want to change the reservation.
إلا كنتي انسيتي، غادي تخسر الحجز ديالك.,"If you forget, you will lose your reservation."
أي واحد ازوين يقضي حاجة.,Anyone kind gets things done.
غادي نتلاقا بيك فالمسبح، واخا؟,"I will meet you at the pool, okay?"
لا. هاد الرصيف ديال القطار اللي غادي فالاتجاه المعاكس.,No. This is the platform for the train going in the opposite direction.
فيناهو السوق؟,Where is the market?
شكرا ليك. كناحترم بزاف ردة الفعل ديالك.,Thank you. I really respect your reaction.
